state,district,opportunity_index,job_opportunity_index,college_infra_index,rural_infra_index
MADHYA PRADESH,Mandsaur,2.978,1.933,5.417,6.239
MADHYA PRADESH,Morena,2.964,2.074,5.041,3.09
MADHYA PRADESH,Narsimhapur,2.984,1.697,5.988,6.054
MADHYA PRADESH,Neemuch,3.384,2.553,5.323,6.007
MADHYA PRADESH,Panna,1.932,0.995,4.119,2.522
MADHYA PRADESH,Raisen,3.028,2.058,5.292,5.931
MADHYA PRADESH,Rajgarh,2.224,1.568,3.756,5.718
MADHYA PRADESH,Ratlam,3.199,2.618,4.556,5.741
MADHYA PRADESH,Rewa,2.532,1.388,5.203,4.009
MADHYA PRADESH,Sagar,3.475,2.451,5.864,5.973
MADHYA PRADESH,Satna,2.853,1.803,5.304,5.094
MADHYA PRADESH,Sehore,2.627,1.625,4.964,6.42
MADHYA PRADESH,Seoni,2.42,1.116,5.46,5.937
MADHYA PRADESH,Shahdol,2.616,1.802,4.517,3.832
MADHYA PRADESH,Shajapur,2.676,1.724,4.897,5.985
MADHYA PRADESH,Sheopur,1.846,1.333,3.04,4.146
MADHYA PRADESH,Shivpuri,2.106,1.387,3.784,3.331
MADHYA PRADESH,Sidhi,1.774,0.84,3.955,3.608
MADHYA PRADESH,Singrauli,2.332,1.87,3.409,2.5
MADHYA PRADESH,Tikamgarh,2.099,1.412,3.704,3.375
MADHYA PRADESH,Ujjain,4.133,3.542,5.512,6.703
MADHYA PRADESH,Umaria,2.417,1.614,4.292,3.987
MADHYA PRADESH,Vidisha,2.883,2.015,4.909,4.78
MAHARASHTRA,Ahmadnagar,3.371,1.981,6.615,5.173
MAHARASHTRA,Akola,4.875,3.553,7.959,6.294
MAHARASHTRA,Amravati,4.631,3.194,7.984,6.617
MAHARASHTRA,Aurangabad,4.757,4.051,6.405,6.191
MAHARASHTRA,Bhandara,3.546,1.862,7.476,6.388
MAHARASHTRA,Bid,3.074,1.773,6.109,5.761
MAHARASHTRA,Buldana,3.464,1.907,7.097,5.801
MAHARASHTRA,Chandrapur,4.272,3.119,6.963,6.168
MAHARASHTRA,Dhule,3.45,2.534,5.587,6.008
MAHARASHTRA,Gadchiroli,2.52,1.023,6.014,4.346
MAHARASHTRA,Gondiya,3.394,1.58,7.626,6.216
MAHARASHTRA,Hingoli,2.79,1.332,6.193,5.56
MAHARASHTRA,Jalgaon,3.982,2.927,6.441,6.217
MAHARASHTRA,Jalna,2.815,1.78,5.228,5.745
MAHARASHTRA,Kolhapur,4.276,3.015,7.217,6.66
MAHARASHTRA,Latur,3.595,2.457,6.252,6.564
